id,tipo,sku-pai,sku,ativo,usado,ncm,gtin,nome,descricao-completa,url-video-youtube,estoque-gerenciado,estoque-quantidade,estoque-situacao-em-estoque,estoque-situacao-sem-estoque,preco-sob-consulta,preco-custo,preco-cheio,preco-promocional,marca,peso-em-kg,altura-em-cm,largura-em-cm,comprimento-em-cm,categoria-nome-nivel-1,categoria-nome-nivel-2,categoria-nome-nivel-3,categoria-nome-nivel-4,categoria-nome-nivel-5,imagem-1,imagem-2,imagem-3,imagem-4,imagem-5,grade-genero,grade-tamanho-de-anelalianca,grade-tamanho-de-calca,grade-tamanho-de-camisacamiseta,grade-tamanho-de-capacete,grade-tamanho-de-tenis,grade-voltagem,grade-tamanho-juvenil-infantil,grade-produto-com-uma-cor,grade-produto-com-duas-cores,grade-tamanho-infantil,"",url-antiga
,com-variacao,,XP132572734,S,N,,,Brasil Infantil - Away (2022),Brasil Infantil - Away (2022),,,,,,N,,,,,,,,,Infantil,,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/8b9e208e1-894468249bc60b6c9516627575218891-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/18571a421-eb2097ebfa77ee2d2216627575211517-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/3f7d54b51-5b7d6b5323a80c18de16627575216262-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/1a62edf41-b82e6600f91176f1f216627575220571-640-0.jpg,,,,,,,,,,,,,,
,variacao,XP132572734,XP132572734-16,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
,variacao,XP132572734,XP132572734-18,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,
,variacao,XP132572734,XP132572734-20,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,
,variacao,XP132572734,XP132572734-22,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,
,variacao,XP132572734,XP132572734-24,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,
,variacao,XP132572734,XP132572734-26,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,
,variacao,XP132572734,XP132572734-28,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,
,com-variacao,,XP132572259,S,N,,,Argentina - Away (2022),Argentina - Away (2022) Masculina Versão Torcedor,,,,,,N,,,,,,,,,Camisas Masculina,Seleções,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/8f69539f1-ba161ef13db940a54c16627573720900-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/6882dceb1-3be5225f73f8d71efc16627573720062-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/4fb5913b1-9d235b49982ffaf29416627573720331-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/b4c3f0321-bd09dd859b7e46034d16627573720539-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/fcc65a981-940fb20ba768ff32bc16627573721600-640-0.jpg,,,,,,,,,,,,,
,variacao,XP132572259,XP132572259-P,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP132572259,XP132572259-M,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP132572259,XP132572259-G,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
,variacao,XP132572259,XP132572259-GG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,GG,,,,,,,,,
,variacao,XP132572259,XP132572259-XG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,XG,,,,,,,,,
,variacao,XP132572259,XP132572259-XGG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,XGG,,,,,,,,,
,com-variacao,,XP132491277,S,N,,,PSG - Third Kit (2022/23),PSG - Third Kit (2022/23) Masculina Versão Torcedor,,,,,,N,,,,,,,,,Camisas Masculina,Ligue 1,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/9e9de6ff-6477-4230-9d59-3b8f18fc1fc2-9a09726b1362d6ec2116627286560364-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/d3e4e19f-a66a-4733-87b1-13ae2fcf7d5d-68deba79c8d2084f9516627286560303-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/e1508c8d-458e-4cb9-99e9-656d1fd07bb4-27f38d7ca7adf316d016627286559329-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/dcd3fd19-62f8-46b3-8fc8-dd713998fd29-4c1e344b47b388f2cf16627286559006-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/aafa4839-8a79-4d86-a402-1b686a58d3c5-1f538fd284e3f727e816627286558941-640-0.jpeg,,,,,,,,,,,,,
,variacao,XP132491277,XP132491277-P,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP132491277,XP132491277-M,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP132491277,XP132491277-G,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
,variacao,XP132491277,XP132491277-GG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,GG,,,,,,,,,
,variacao,XP132491277,XP132491277-XG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,XG,,,,,,,,,
,variacao,XP132491277,XP132491277-XGG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,XGG,,,,,,,,,
,com-variacao,,XP132184712,S,N,,,Inter de Milão (Versão Jogador) - Home (2022/23),Inter de Milão (Versão Jogador) - Home (2022/23),,,,,,N,,,,,,,,,Versão Jogador,,,,,https://d3ugyf2ht6aenh.cloudfront.net/tmp/stores/001/482/519/products/8ac52948.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/954c477a1-95d74e74ac204a615616625632595206-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/21dcd9ab1-c06bf4b4feb37ed4b516625632597087-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/0fb6ec861-bafa5d880bfdbd98c316625632598427-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/tmp/stores/001/482/519/products/0d6fd2e9.jpg,,,,,,,,,,,,,
,variacao,XP132184712,XP132184712-P,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP132184712,XP132184712-M,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP132184712,XP132184712-G,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
,variacao,XP132184712,XP132184712-GG,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,GG,,,,,,,,,
,variacao,XP132184712,XP132184712-XG,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,XG,,,,,,,,,
,com-variacao,,XP132184218,S,N,,,Roma (Versão Jogador) - Home (2022/23),Roma (Versão Jogador) - Home (2022/23),,,,,,N,,,,,,,,,Versão Jogador,,,,,https://d3ugyf2ht6aenh.cloudfront.net/tmp/stores/001/482/519/products/c5e3cad6-1.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/4278f18f1-f17be57d403869567316625630983695-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/99fcadec1-9ad27a58feaf1b263216625630989201-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/8c0844b61-af2a2d6f8ca8e343f216625630988783-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/f4804f761-160c693f230bbcf04616625630990822-640-0.jpg,,,,,,,,,,,,,
,variacao,XP132184218,XP132184218-P,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP132184218,XP132184218-M,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP132184218,XP132184218-G,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
